id,titulo,categoria,tipo_contratacao,palavras_chave,causa,consequencia,probabilidade_padrao,impacto_padrao,acao_preventiva,acao_contingencia,responsavel_sugerido
R011,Quantidade demandada de subscrições insuficiente,planejamento,software;servico,subscricao;licenca;microsoft;office;copilot;quantidade,"Dimensionamento de subscrições inferior ao quantitativo de usuários, cedidos, terceirizados ou novos empregados",Falta de subscrições para atender às demandas institucionais e necessidade de aditivo ou nova contratação,3-Média,4-Alto,"Definir volumetria com base no QLP, perfis de usuários, contratos vigentes e margem para demandas eventuais",Solicitar aditivo ou iniciar contratação complementar para atendimento da demanda não coberta,DETC
R012,Definição inadequada do período de vigência do suporte ou subscrição,planejamento,software;servico,vigencia;suporte;subscricao;prazo;licenciamento,"Período contratual incompatível com o ciclo de uso, suporte ou renovação das subscrições",Vigência insuficiente para atender à demanda e risco de descontinuidade do serviço,2-Baixa,3-Médio,"Justificar o período de vigência com base em práticas de mercado, ciclo de suporte e necessidade institucional","Avaliar aditivo, prorrogação ou nova contratação antes do fim da vigência",DETC
R013,Pedidos de esclarecimento que alterem o edital após a publicação,cronograma,aquisicao;servico;software,esclarecimento;edital;republicacao;fornecedor;prazo,Baixa clareza dos requisitos ou inconsistências nos artefatos publicados,"Atraso na contratação, republicação do edital e aumento de retrabalho administrativo",3-Média,3-Médio,Revisar previamente os artefatos e considerar contribuições dos fornecedores durante o planejamento,Republicar o edital com os ajustes necessários e recalibrar o cronograma da contratação,Equipe de planejamento
R014,Ocorrência de impugnação ou recurso interposto por fornecedor,cronograma,aquisicao;servico;software,impugnacao;recurso;edital;licitacao;cronograma,"Exigências editalícias questionáveis, justificativas frágeis ou inconsistências de especificação","Suspensão ou atraso do certame, necessidade de ajustes e retrabalho no processo de contratação",3-Média,4-Alto,Fortalecer justificativas técnicas e submeter os artefatos à avaliação de conformidade e jurídica,"Responder tempestivamente, ajustar o edital quando cabível e atualizar o cronograma",Equipe de planejamento
R015,Contratação de fornecedor sem capacidade para executar o contrato,selecao,aquisicao;servico;software,capacidade tecnica;atestados;habilitacao;fornecedor;execucao,Critérios de habilitação insuficientes ou análise inadequada da capacidade técnica do licitante,"Cancelamento contratual, atraso no atendimento da demanda e baixa qualidade do objeto contratado",2-Baixa,4-Alto,"Exigir atestados compatíveis, qualificação técnica e análise criteriosa da documentação de habilitação","Convocar próximo licitante, acionar garantias contratuais ou iniciar nova licitação",Equipe de planejamento e área técnica
R016,Interrupção dos serviços pela contratada,selecao,servico;software,interrupcao;continuidade;fornecedor;servico;subscricao,"Fragilidade financeira, operacional ou contratual da empresa fornecedora","Não fornecimento do objeto, descumprimento de cláusulas e interrupção de serviços dependentes",2-Baixa,4-Alto,Detalhar obrigações no edital e verificar habilitação da licitante vencedora após o certame,"Convocar outra licitante, aplicar sanções e executar plano de continuidade",Gestor do contrato
R017,Contratada ficar impossibilitada de prestar o serviço,gestao,servico;software,falencia;crise;indisponibilidade;continuidade;fornecedor,"Falência, crise operacional, perda de condições contratuais ou incapacidade superveniente da contratada","Comprometimento da capacidade operacional, descumprimento contratual e interrupção dos serviços",2-Baixa,4-Alto,"Incluir cláusulas de nível de serviço, garantia contratual e mecanismos de acompanhamento da capacidade da contratada","Informar a gestão administrativa, buscar alternativas de mercado e realizar nova contratação substitutiva",Gestor do contrato
R018,Contratada deixar de atender condições técnicas durante a vigência,gestao,aquisicao;servico;software,condicoes tecnicas;certidoes;certificacoes;vigencia;habilitacao,"Perda de certificações, atestados, autorizações ou condições técnicas exigidas na contratação",Não atendimento aos requisitos originais e impossibilidade de receber suporte ou serviço adequado,2-Baixa,4-Alto,"Fiscalizar periodicamente documentações, certidões e certificações exigidas no contrato","Comunicar pendências, notificar a contratada e encaminhar apuração de inexecução contratual",Fiscal técnico
R019,Não execução contratual,gestao,aquisicao;servico;software,inexecucao;entrega;contrato;sancao;fornecedor,"Descumprimento de obrigações contratuais, falhas de execução ou indisponibilidade do fornecedor","Atraso na entrega, não fornecimento do objeto e necessidade de aplicação de sanções",2-Baixa,4-Alto,"Definir obrigações, prazos, critérios de aceite e sanções de forma objetiva no Termo de Referência","Aplicar sanções, acionar garantia contratual e avaliar substituição do fornecedor",Gestor do contrato
R020,Dados inconsistentes ou imprecisos repassados ao fornecedor,gestao,aquisicao;servico;software,dados;cadastro;informacoes;inconsistencia;fornecedor,"Informações cadastrais, quantitativas ou técnicas repassadas sem verificação prévia","Atraso na entrega, custos adicionais de correção e retrabalho pós-entrega",3-Média,3-Médio,Estabelecer procedimento de verificação de dados antes do envio ao fornecedor,Manter equipe de revisão para corrigir inconsistências e reenviar dados validados,Área demandante e fiscal técnico
R021,Contratada não aceitar prorrogar o contrato,gestao,aquisicao;servico;software,prorrogacao;vigencia;continuidade;contrato;fornecedor,"Desinteresse da contratada, perda de condição de habilitação ou inviabilidade econômica de prorrogação","Não continuidade do serviço, perda de suporte e necessidade de nova contratação emergencial ou ordinária",2-Baixa,4-Alto,Planejar a prorrogação em tempo hábil e consultar formalmente a contratada antes do término da vigência,Iniciar procedimento de nova contratação ou transição contratual,Gestor do contrato
R022,Serviço prestado de forma tecnicamente insatisfatória,gestao,servico;software,suporte;qualidade;sla;execucao;servico,"Falha de comunicação, baixa maturidade técnica da contratada ou execução abaixo dos níveis esperados","Queda na qualidade, descumprimento de cláusulas e possível interrupção do serviço",3-Média,4-Alto,Realizar reuniões de qualidade e comunicar formalmente os níveis de qualidade esperados,"Notificar a contratada, exigir correção e encaminhar apuração de inexecução contratual",Fiscal técnico
R023,Fiscalização contratual além da capacidade da equipe,gestao,aquisicao;servico;software,fiscalizacao;capacidade;equipe;ateste;contrato,"Acúmulo de contratos, ausências não programadas ou equipe insuficiente para fiscalização","Sobrecarga de fiscais, atestes incorretos, pagamentos indevidos e atrasos na gestão contratual",3-Média,4-Alto,Avaliar capacidade operacional de fiscalização antes da assinatura do contrato,"Redistribuir atividades, capacitar fiscais e solicitar reforço temporário de equipe",Gestor do contrato
R024,Baixa qualidade na execução contratual,gestao,aquisicao;servico;software,qualidade;execucao;contrato;sla;servico,"Ausência de controles de qualidade, indicadores insuficientes ou baixa aderência da contratada aos requisitos","Sobrecarga das equipes internas, interrupções frequentes e percepção de baixa qualidade do serviço",3-Média,4-Alto,"Definir indicadores de qualidade, critérios de aceite e rotina de acompanhamento da execução","Identificar causas das falhas, exigir plano de correção e aplicar sanções quando cabível",Fiscal técnico
R025,Falta de compatibilidade com sistemas ou equipamentos existentes,solucao,aquisicao;servico;software,compatibilidade;integracao;sistemas;equipamentos;homologacao,Especificação sem validação de interoperabilidade com o ambiente tecnológico existente,"Problemas de uso da solução, falhas de integração e necessidade de substituição ou ajustes técnicos",3-Média,4-Alto,Especificar compatibilidade com o ambiente da DATAPREV e homologar a solução antes do aceite definitivo,"Executar testes de compatibilidade, exigir correção ou substituir componentes incompatíveis",Equipe técnica
R026,Obsolescência total ou parcial da solução,solucao,aquisicao;servico;software,obsolescencia;eol;eosl;suporte;atualizacao;ciclo de vida,"Aquisição de componente próximo do fim de vida, sem suporte ou com baixa perspectiva de atualização","Perda de suporte, perda de funcionalidades e substituição antes do período planejado",2-Baixa,4-Alto,Exigir ausência de aviso de descontinuidade durante a vigência e avaliar ciclo de vida do fabricante,"Planejar substituição, migração ou nova contratação para componente obsoleto",Equipe técnica
R027,Mudança intempestiva de escopo da solução,cronograma,aquisicao;servico;software,escopo;mudanca;artefatos;replanejamento;solucao,"Alteração tardia de requisitos, dependências externas ou mudança de prioridade institucional","Atraso no processo, readequação de artefatos técnicos e possível necessidade de nova contratação",3-Média,3-Médio,Identificar processos relacionados e congelar escopo mínimo antes da fase externa,"Manter solução vigente, replanejar artefatos e submeter alterações à governança da contratação",Equipe de planejamento
R028,Contratação não ocorrer no prazo estimado,cronograma,aquisicao;servico;software,prazo;contratacao;cronograma;licitacao;planejamento,"Subestimação do prazo das etapas internas, análise jurídica, conformidade ou fase externa",Atraso na implementação da solução e risco de descontinuidade de serviços ou insumos,3-Média,4-Alto,Definir cronograma realista com marcos de acompanhamento e responsáveis por etapa,"Repriorizar etapas críticas, ajustar cronograma e adotar medidas de transição temporária",Equipe de planejamento
R029,Atraso na execução do cronograma técnico contratual,cronograma,aquisicao;servico;software,cronograma tecnico;implantacao;servicos;ordem de servico;prazos,"Dependências técnicas, atrasos da contratada ou baixa coordenação entre equipes internas e fornecedor","Atraso na implantação, impacto operacional e postergação dos benefícios esperados",3-Média,4-Alto,"Definir plano de trabalho com marcos técnicos, responsáveis e critérios de aceite por etapa","Realizar comitês de acompanhamento, exigir plano de recuperação e aplicar sanções se necessário",Gestor do contrato
R030,Entrega do objeto não ocorrer no prazo estimado,cronograma,aquisicao;servico;software,entrega;prazo;fornecedor;objeto;atraso,"Prazo contratual inadequado, indisponibilidade de estoque ou falha logística do fornecedor",Atraso na entrega dos objetos e comprometimento do atendimento da necessidade institucional,3-Média,3-Médio,Estabelecer prazos contratuais objetivos e acompanhar periodicamente o progresso da entrega,"Aplicar sanções, acionar garantias e avaliar alternativas de fornecimento",Gestor do contrato
R031,Quantidade demandada de certificados ou tokens insuficiente,planejamento,aquisicao;servico,certificado;token;quantidade;demanda;assinatura digital,Estimativa de certificados e tokens inferior à demanda real das áreas usuárias,Falta de certificados e tokens para atender às demandas institucionais,3-Média,4-Alto,Acompanhar o processo de aquisição e validar demanda com as áreas usuárias,Solicitar aditivo ou nova contratação complementar para atendimento da demanda,DETC
R032,Problemas na emissão de certificados por dados incorretos,gestao,aquisicao;servico,certificado;dados;emissao;cadastro;token,Dados cadastrais inconsistentes ou imprecisos repassados ao fornecedor de certificação,Atraso na entrega do objeto e problemas na emissão de certificados,3-Média,4-Alto,Verificar dados cadastrais antes do envio ao fornecedor e manter base atualizada,Corrigir inconsistências com equipe dedicada e reenviar dados validados ao fornecedor,DETC
R033,Certificados incompatíveis com sistemas existentes,solucao,aquisicao;servico,certificado;compatibilidade;sistemas;token;homologacao,Especificação de certificado ou token sem validação plena com sistemas corporativos,Problemas na utilização dos certificados pelos usuários,3-Média,4-Alto,Especificar os objetos para garantir compatibilidade com as soluções corporativas e homologar antes do aceite,"Exigir correção, substituição ou ajuste de configuração para compatibilidade",Equipe técnica
R034,Quantidade demandada de equipamentos do kit produtividade insuficiente,planejamento,aquisicao,kit produtividade;equipamentos;qlp;quantidade;estoque,"Estimativa inferior ao QLP, aos consumos anteriores ou à reposição necessária","Itens insuficientes para atender colaboradores, novos empregados e reposição de equipamentos desgastados",3-Média,4-Alto,"Dimensionar quantitativos com base no QLP, consumo histórico, inventário e necessidades de reposição",Revisar demanda periodicamente e avaliar aditivo ou nova contratação para itens insuficientes,DETC
R035,Desabastecimento por ausência de ata vigente,planejamento,aquisicao,ata;arp;vigencia;desabastecimento;kit produtividade,Término de atas de registro de preços ou consumo integral de saldos antes de nova contratação,Descontinuidade no fornecimento de itens de produtividade e comprometimento das operações,3-Média,4-Alto,Monitorar vigência e saldos das atas e iniciar novo processo antes do término de cobertura,"Priorizar itens críticos, remanejar estoques e abrir contratação substitutiva",Equipe de planejamento
R036,Incompatibilidade de acessórios com notebooks ou monitores,solucao,aquisicao,dockstation;replicador;adaptador;notebook;monitor;compatibilidade,"Aquisição de acessórios sem validação com modelos existentes de notebook, desktop ou monitor","Equipamentos não funcionais, devoluções, retrabalho e atraso na disponibilização aos usuários",3-Média,4-Alto,"Especificar compatibilidade por modelo, interface, dimensões e padrão de conexão","Realizar teste de amostra, substituir itens incompatíveis e revisar especificação",Equipe técnica
R037,Filtro de privacidade incompatível com dimensão ou formato da tela,solucao,aquisicao,filtro de privacidade;tela;monitor;notebook;dimensao,Dimensionamento incorreto dos filtros em relação aos tamanhos de notebook e monitor existentes,"Proteção visual ineficaz, perda de recursos e necessidade de nova aquisição",3-Média,3-Médio,"Dimensionar filtros com base no inventário por polegada, formato e modelo de equipamento",Substituir filtros incompatíveis e ajustar a memória de cálculo por modelo,Equipe técnica
R038,Exposição visual de informações confidenciais,solucao,aquisicao,privacidade;informacao sensivel;hackers visuais;tela;sigilo,Ausência ou uso inadequado de filtros de privacidade em ambientes compartilhados ou externos,Visualização indevida de informações corporativas e exposição de dados sensíveis,3-Média,4-Alto,Fornecer filtros de privacidade para equipamentos compatíveis e orientar usuários sobre uso em ambientes compartilhados,"Registrar incidente, reforçar controles e redistribuir filtros para áreas críticas",Segurança da informação
R039,Travas de segurança incompatíveis ou insuficientes,solucao,aquisicao,trava;slot kensington;patrimonio;notebook;seguranca,Especificação sem compatibilidade com os modelos de notebook ou quantitativo insuficiente,Falha na proteção patrimonial e impossibilidade de uso das travas adquiridas,3-Média,3-Médio,Especificar padrão de encaixe compatível e dimensionar quantidade por parque de notebooks,Substituir travas incompatíveis e priorizar distribuição para ambientes de maior exposição,DETC
R040,Furto ou perda de ativos móveis,solucao,aquisicao,furto;perda;notebook;ativo;patrimonio,"Uso intensivo de notebooks em locais públicos, compartilhados ou sem monitoramento","Perda patrimonial, interrupção de atividades e possível exposição de dados corporativos",3-Média,4-Alto,"Adotar travas físicas, inventário atualizado e orientações de segurança patrimonial","Bloquear acessos, registrar ocorrência, repor equipamento e avaliar incidente de segurança",Gestor patrimonial e segurança da informação
R041,Solução ergonômica inadequada ao posto de trabalho,solucao,aquisicao,ergonomia;nr17;suporte;mousepad;apoio de punho;saude ocupacional,"Itens ergonômicos inadequados, insuficientes ou incompatíveis com necessidades dos usuários","Desconforto, fadiga, risco de LER/DORT e redução da produtividade",3-Média,3-Médio,"Considerar recomendações de ergonomia, saúde ocupacional e pesquisa interna de usuários","Reavaliar itens, substituir acessórios inadequados e orientar configuração do posto de trabalho",Área demandante e saúde ocupacional
R042,Falha de conectividade de periféricos e adaptadores,solucao,aquisicao,conectividade;dockstation;replicador;hdmi;adaptador;teclado mouse,"Incompatibilidade, interferência, bateria ou limitação de portas e padrões de conexão","Interrupções nas atividades, perda de produtividade e aumento de chamados de suporte",3-Média,3-Médio,"Especificar padrões mínimos de conectividade, compatibilidade e desempenho dos periféricos","Substituir itens defeituosos, orientar uso e acionar garantia do fornecedor",Suporte técnico
R043,Desgaste prematuro de acessórios de produtividade,gestao,aquisicao,desgaste;reposicao;garantia;perifericos;kit produtividade,"Uso contínuo de itens de consumo, baixa durabilidade ou ausência de garantia para determinados acessórios","Necessidade de reposição frequente, aumento de custos e indisponibilidade de itens aos usuários",3-Média,3-Médio,"Definir requisitos mínimos de qualidade, garantia quando aplicável e política de reposição",Repor itens críticos e recalibrar quantitativos em contratação futura,Gestor do contrato
R044,Licenças NAC insuficientes para usuários e dispositivos,planejamento,software;servico,nac;licenca;dispositivo;qlp;visitante;rede,"Crescimento do QLP, visitantes, terceirizados ou múltiplos dispositivos acima da estimativa",Impossibilidade de controlar todos os acessos e necessidade de aquisição complementar,3-Média,5-Muito Alto,"Dimensionar licenças com base em QLP, estagiários, terceirizados, visitantes e multiplicador de dispositivos",Adquirir licenças adicionais e priorizar cobertura para dispositivos críticos,Equipe de rede
R045,Controle de acesso à rede insuficiente,solucao,software;servico,nac;controle de acesso;seguranca;dispositivo nao autorizado;rede,"Ausência, expiração ou subdimensionamento de licenças e políticas de NAC","Conexão de dispositivos não autorizados, não conformes ou inseguros à rede corporativa",3-Média,5-Muito Alto,"Manter NAC licenciado, integrado ao MDM e com políticas de conformidade atualizadas","Bloquear acessos não conformes, revisar políticas e ampliar cobertura de licenças",Segurança da informação e equipe de rede
R046,Falha de alta disponibilidade de controladoras ou NAC,solucao,aquisicao;software;servico,alta disponibilidade;controladora;wifi;nac;datacenter;redundancia,Implantação sem redundância local e remota ou com componentes críticos concentrados,"Interrupção do Wi-Fi, falha de autenticação e impacto no acesso à rede interna",2-Baixa,5-Muito Alto,"Projetar controladoras e NAC em alta disponibilidade, preferencialmente em datacenters distintos","Redirecionar serviços para controladora secundária, acionar suporte e restaurar redundância",Equipe de rede
R047,Componentes de rede incompatíveis com parque existente,solucao,aquisicao,switch;transceiver;cabo;power injection;compatibilidade;cisco,"Aquisição de componentes sem compatibilidade técnica com switches, access points ou controladoras existentes","Falha de instalação, indisponibilidade de expansão e desperdício de recursos",3-Média,4-Alto,"Especificar part numbers, padrões IEEE, modelos compatíveis e requisitos de homologação",Substituir componentes incompatíveis e ajustar configuração da rede,Equipe de rede
R048,Ausência de garantia e suporte para ativos de rede,gestao,aquisicao;servico,garantia;suporte;rede;switch;nac;access point,Encerramento de contrato de garantia ou contratação sem cobertura adequada para ciclo de vida dos ativos,"Risco operacional nas unidades, maior tempo de indisponibilidade e aumento de manutenção corretiva",2-Baixa,5-Muito Alto,Contratar garantia e suporte por período compatível com o ciclo de vida dos ativos,"Acionar suporte alternativo, priorizar reposição de componentes e planejar nova contratação",Equipe de rede
R049,Capacitação insuficiente para operação da solução de rede,gestao,aquisicao;servico,capacitacao;operacao;rede;lan;wifi;nac,Modelo de aquisição sem serviço de operação e equipe interna não capacitada para administrar a solução,"Erros de operação, maior dependência de suporte externo e indisponibilidade de serviços de rede",3-Média,4-Alto,"Incluir capacitação técnica para LAN, Wi-Fi e NAC no escopo da contratação",Acionar suporte especializado e realizar treinamento emergencial da equipe interna,Equipe de rede
R050,Power injections insuficientes ou incompatíveis com access points,instalacao,aquisicao,power injection;access point;poe;wifi;instalacao,Quantidade de injetores PoE inferior aos access points ou incompatibilidade elétrica/técnica,Access points sem funcionamento e falha na expansão da rede sem fio,3-Média,4-Alto,Dimensionar um power injection por access point e especificar compatibilidade PoE,"Remanejar injetores disponíveis, adquirir complemento ou ajustar arquitetura de alimentação",Equipe de rede
R051,Transceivers ou cabos de empilhamento inadequados,instalacao,aquisicao,transceiver;cabo de empilhamento;switch;fibra;utp;stack,"Especificação incorreta de padrão, comprimento, velocidade ou compatibilidade dos componentes","Falha de interligação, degradação de desempenho e atraso na ativação da rede",3-Média,4-Alto,"Especificar modelos, padrões IEEE, velocidade, meio físico e comprimento mínimo compatível",Substituir componentes inadequados e executar testes de conectividade antes da entrada em produção,Equipe de rede
R052,Adoção de tecnologia imatura,planejamento,aquisicao;servico;software,tecnologia imatura;gartner;mercado;solucao;treinamento,"Escolha de solução com baixa base instalada, poucos fornecedores ou maturidade técnica insuficiente","Dificuldade de implantação, descontinuidade e não funcionamento conforme pretendido",2-Baixa,4-Alto,"Verificar maturidade de mercado, base instalada, referências independentes e necessidade de treinamento","Treinar equipe interna, revisar arquitetura e avaliar substituição da solução",Equipe de planejamento
R053,Dependência excessiva de ecossistema tecnológico específico,gestao,software;servico,microsoft;vendor lock-in;dependencia;padronizacao;licenciamento,"Concentração de produtividade, colaboração, segurança e automação em um único ecossistema de fornecedor","Baixa flexibilidade de substituição, custos de migração e dependência de condições comerciais do fabricante",3-Média,4-Alto,"Documentar justificativa de padronização, estratégia de transição e requisitos de interoperabilidade","Planejar migração gradual, exportação de dados e alternativas de continuidade",Equipe de planejamento
R054,Uso inadequado ou excedente de licenças de software,gestao,software;servico,licenciamento;compliance;gestao de ativos;software;subscricao,"Monitoramento insuficiente de licenças, alocação inadequada por perfil ou ausência de gestão de ativos","Desperdício financeiro, não conformidade contratual e risco de auditoria de licenciamento",3-Média,4-Alto,"Implantar gestão de ativos de software, monitoramento periódico e alocação por perfil de usuário","Readequar licenças, recolher subscrições ociosas e corrigir não conformidades",Gestão de ativos de software
R055,Baixa adoção das soluções contratadas pelos usuários,gestao,software;servico,adocao;capacitacao;copilot;microsoft 365;mudanca organizacional,"Usuários não treinados, comunicação insuficiente ou resistência à mudança",Baixa efetividade da contratação e não realização dos benefícios de produtividade esperados,3-Média,3-Médio,"Prever apoio à adoção, capacitação, comunicação e acompanhamento de uso das soluções","Executar plano de engajamento, reforçar treinamentos e revisar perfis de acesso",Área demandante e equipe técnica
R056,Complexidade de integração de sistemas subestimada,solucao,software;servico,integracao;api;sistemas legados;middleware;dados,"Quantidade de sistemas, volume de dados ou complexidade técnica maior que a estimada","Atraso em integrações, consumo excessivo de horas técnicas e falhas de interoperabilidade",3-Média,4-Alto,"Dimensionar horas por quantidade de sistemas, complexidade, volume de dados e unidades atendidas","Repriorizar integrações, abrir ordem de serviço complementar e ajustar cronograma técnico",Equipe técnica
R057,Automações corporativas mal dimensionadas,solucao,software;servico,automacao;scripts;macros;power automate;processos,"Número de processos, complexidade de scripts ou rodadas de ajuste subestimados","Automação incompleta, retrabalho e baixa eficiência operacional",3-Média,3-Médio,"Estimar horas por processo, complexidade, setores atendidos e rodadas de ajuste","Revisar escopo das automações, priorizar fluxos críticos e contratar apoio especializado adicional",Equipe técnica
R058,Compliance de licenciamento insuficiente,gestao,software;servico,compliance;licencas;auditoria;software asset management;monitoramento,Controle de conformidade insuficiente ou frequência de monitoramento inadequada,"Uso irregular de software, exposição a auditorias e custos de regularização",2-Baixa,4-Alto,Definir rotina de monitoramento de compliance e inventário de licenças,"Regularizar licenças, bloquear uso indevido e documentar plano de correção",Gestão de ativos de software
R059,Exposição de dados sensíveis em ferramentas de colaboração ou IA,solucao,software;servico,copilot;ia;dados sensiveis;privacidade;lgpd;seguranca,"Configurações inadequadas de acesso, permissões excessivas ou uso de agentes sobre dados organizacionais sensíveis","Vazamento, acesso indevido ou uso inadequado de informações corporativas",3-Média,5-Muito Alto,"Definir políticas de acesso, DLP, classificação da informação e governança para uso de IA e colaboração","Revogar acessos, acionar resposta a incidente e revisar permissões e políticas",Segurança da informação
R060,Subscrição base incompatível ou indisponível para uso de add-ons,solucao,software;servico,copilot;add-on;subscricao base;microsoft 365;licenca,Aquisição de add-ons sem disponibilidade ou compatibilidade de subscrições base necessárias,Impossibilidade de ativar funcionalidades contratadas e desperdício de recursos,2-Baixa,4-Alto,Validar previamente requisitos de licenciamento base e compatibilidade dos planos existentes,Readequar alocação de licenças base ou adquirir subscrições compatíveis,DETC
R061,Créditos do Copilot Studio insuficientes ou superestimados,planejamento,software;servico,copilot studio;creditos;consumo;volumetria;agentes,Estimativa de créditos baseada em demanda incompleta ou sem monitoramento histórico de consumo,Limitação de uso dos agentes ou contratação de créditos acima da necessidade,3-Média,3-Médio,"Dimensionar créditos com base em casos de uso, usuários previstos e métricas de consumo","Rebalancear consumo, limitar casos não críticos ou contratar créditos adicionais",DETC
R062,Perda de produtividade por descontinuidade de ferramentas corporativas,solucao,software;servico,microsoft 365;office;teams;onedrive;descontinuidade;produtividade,Encerramento ou interrupção de subscrições utilizadas em processos administrativos e colaborativos,"Perda de produtividade, retrabalho, migração forçada e interrupção de processos críticos",2-Baixa,5-Muito Alto,Planejar renovação ou nova contratação antes do encerramento das subscrições vigentes,"Acionar plano de continuidade, priorizar usuários críticos e manter solução vigente até transição",DETC
